"              ELEM","                 X","                 Y","                 Z","              ROCK","              PRES","              TEMP","             SAT_G","             SAT_L","         X_WATER_G","           X_AIR_G","         X_WATER_L","           X_AIR_L","             REL_G","             REL_L","           PCAP_GL","             DEN_G","             DEN_L","               POR"
"                  ","               (M)","               (M)","               (M)","                  ","              (PA)","           (DEC-C)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","              (PA)","         (KG/M**3)","         (KG/M**3)","               (-)"
"TIME [sec]  0.31560000E+08"
"             A1156",  0.31960000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003438194E+006,  0.19046790289E+002,  0.19886968697E+000,  0.80113031303E+000,  0.13822998329E-001,  0.98617700167E+000,  0.99998427393E+000,  0.15726074466E-004,  0.89294041156E+000,  0.10705958844E+000, -0.97599337024E+004,  0.11825287250E+001,  0.99851443321E+003,  0.10000000000E+000
"             A1157",  0.32930000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003412424E+006,  0.18876023643E+002,  0.19905423460E+000,  0.80094576540E+000,  0.13675119289E-001,  0.98632488071E+000,  0.99998427021E+000,  0.15729786599E-004,  0.89309910696E+000,  0.10690089304E+000, -0.97670000979E+004,  0.11833220855E+001,  0.99854771923E+003,  0.10000000000E+000
"             A1158",  0.33930000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003386506E+006,  0.18728342656E+002,  0.19921451441E+000,  0.80078548559E+000,  0.13548368447E-001,  0.98645163155E+000,  0.99998426704E+000,  0.15732962892E-004,  0.89323674082E+000,  0.10676325918E+000, -0.97731381376E+004,  0.11840077223E+001,  0.99857624236E+003,  0.10000000000E+000
"             A1159",  0.34940000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003360468E+006,  0.18601453879E+002,  0.19935258903E+000,  0.80064741097E+000,  0.13440300424E-001,  0.98655969958E+000,  0.99998426433E+000,  0.15735665213E-004,  0.89335516303E+000,  0.10664483697E+000, -0.97784264611E+004,  0.11845963536E+001,  0.99860055414E+003,  0.10000000000E+000
"             A1160",  0.35970000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003334339E+006,  0.18493162438E+002,  0.19947055839E+000,  0.80052944161E+000,  0.13348681118E-001,  0.98665131888E+000,  0.99998426205E+000,  0.15737950133E-004,  0.89345623628E+000,  0.10654376372E+000, -0.97829452208E+004,  0.11850982306E+001,  0.99862115931E+003,  0.10000000000E+000
"             A1161",  0.37030000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003308149E+006,  0.18401403533E+002,  0.19957049324E+000,  0.80042950676E+000,  0.13271487866E-001,  0.98672851213E+000,  0.99998426013E+000,  0.15739868913E-004,  0.89354178216E+000,  0.10645821784E+000, -0.97867735215E+004,  0.11855229939E+001,  0.99863851511E+003,  0.10000000000E+000
"             A1162",  0.38110000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003281924E+006,  0.18324223569E+002,  0.19965442697E+000,  0.80034557303E+000,  0.13206871309E-001,  0.98679312869E+000,  0.99998425853E+000,  0.15741468449E-004,  0.89361357711E+000,  0.10638642289E+000, -0.97899890967E+004,  0.11858797617E+001,  0.99865303959E+003,  0.10000000000E+000
"             A1163",  0.39210000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003255687E+006,  0.18259802320E+002,  0.19972430708E+000,  0.80027569292E+000,  0.13153155870E-001,  0.98684684413E+000,  0.99998425721E+000,  0.15742791251E-004,  0.89367331357E+000,  0.10632668643E+000, -0.97926664361E+004,  0.11861770281E+001,  0.99866511129E+003,  0.10000000000E+000
"             A1164",  0.40330000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003229459E+006,  0.18206458948E+002,  0.19978196842E+000,  0.80021803158E+000,  0.13108829819E-001,  0.98689117018E+000,  0.99998425612E+000,  0.15743875692E-004,  0.89372257935E+000,  0.10627742065E+000, -0.97948757508E+004,  0.11864226357E+001,  0.99867507146E+003,  0.10000000000E+000
"             A1165",  0.41480000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003203265E+006,  0.18162662377E+002,  0.19982910599E+000,  0.80017089401E+000,  0.13072541837E-001,  0.98692745816E+000,  0.99998425524E+000,  0.15744756092E-004,  0.89376283648E+000,  0.10623716352E+000, -0.97966819221E+004,  0.11866237281E+001,  0.99868322487E+003,  0.10000000000E+000
