"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              HEAT","              FLOW","            FLOW_G","            FLOW_L"
"                  ","                  ","               (M)","               (M)","               (M)","               (W)","            (KG/S)","            (KG/S)","            (KG/S)"
"TIME [sec]  0.31560000E+08"
"             A1199","             A12 0",  0.10000556220E+003,  0.00000000000E+000, -0.22500000000E+001, -0.82808194976E-001, -0.87135092898E-006, -0.32109646441E-006, -0.55025446457E-006
"             A12 0","             A12 1",  0.10338774516E+003,  0.00000000000E+000, -0.22500000000E+001, -0.82652325542E-001, -0.86971083309E-006, -0.32049147710E-006, -0.54921935599E-006
"             A12 1","             A12 2",  0.10818762742E+003,  0.00000000000E+000, -0.22500000000E+001, -0.82423390351E-001, -0.86730149537E-006, -0.31960282608E-006, -0.54769866929E-006
"             A12 2","             A12 3",  0.11501670482E+003,  0.00000000000E+000, -0.22500000000E+001, -0.82084036604E-001, -0.86373096030E-006, -0.31828601543E-006, -0.54544494488E-006
"             A12 3","             A12 4",  0.12483987403E+003,  0.00000000000E+000, -0.22500000000E+001, -0.81576092387E-001, -0.85838577516E-006, -0.31631490945E-006, -0.54207086571E-006
"             A12 4","             A12 5",  0.13889812218E+003,  0.00000000000E+000, -0.22500000000E+001, -0.80807402072E-001, -0.85029752813E-006, -0.31333258312E-006, -0.53696494501E-006
"             A12 5","             A12 6",  0.15894452474E+003,  0.00000000000E+000, -0.22500000000E+001, -0.79632585491E-001, -0.83793563199E-006, -0.30877498679E-006, -0.52916064520E-006
"             A12 6","             A12 7",  0.18762529518E+003,  0.00000000000E+000, -0.22500000000E+001, -0.77822185243E-001, -0.81888554292E-006, -0.30175240172E-006, -0.51713314120E-006
"             A12 7","             A12 8",  0.22855941709E+003,  0.00000000000E+000, -0.22500000000E+001, -0.75012079830E-001, -0.78931636779E-006, -0.29085330489E-006, -0.49846306290E-006
"             A12 8","             A12 9",  0.28706835340E+003,  0.00000000000E+000, -0.22500000000E+001, -0.70604507671E-001, -0.74293765847E-006, -0.27376002156E-006, -0.46917763691E-006
"             A12 9","             A1210",  0.37076528576E+003,  0.00000000000E+000, -0.22500000000E+001, -0.63591134205E-001, -0.66913930389E-006, -0.24656338516E-006, -0.42257591874E-006
"             A1210","             A1211",  0.49037188731E+003,  0.00000000000E+000, -0.22500000000E+001, -0.52503053262E-001, -0.55246489647E-006, -0.20356876502E-006, -0.34889613145E-006
"             A1211","             A1212",  0.66126058656E+003,  0.00000000000E+000, -0.22500000000E+001, -0.36440778154E-001, -0.38344904680E-006, -0.14128925309E-006, -0.24215979371E-006
"             A1212","             A1213",  0.90549706755E+003,  0.00000000000E+000, -0.22500000000E+001, -0.18089910096E-001, -0.19035174642E-006, -0.70138207853E-007, -0.12021353857E-006
"             A1213","             A1214",  0.12545376506E+004,  0.00000000000E+000, -0.22500000000E+001, -0.50861872877E-002, -0.53519481124E-007, -0.19720040013E-007, -0.33799441111E-007
"             A1214","             A1215",  0.17534635338E+004,  0.00000000000E+000, -0.22500000000E+001, -0.67178324084E-003, -0.70688619716E-008, -0.26046228784E-008, -0.44642390932E-008
"             A1215","             A1216",  0.24664941350E+004,  0.00000000000E+000, -0.22500000000E+001, -0.38571368858E-004, -0.40584302979E-009, -0.14953862289E-009, -0.25630440690E-009
"             A1216","             A1217",  0.34856246991E+004,  0.00000000000E+000, -0.22500000000E+001, -0.94710523797E-006, -0.10001943524E-010, -0.36853520231E-011, -0.63165915008E-011
"             A1217","             A1218",  0.49426116857E+004,  0.00000000000E+000, -0.22500000000E+001, -0.10162434088E-007, -0.10694513347E-012, -0.39405484542E-013, -0.67539648923E-013
"             A1218","             A1219",  0.70246706738E+004,  0.00000000000E+000, -0.22500000000E+001, -0.47791176408E-010, -0.50292371395E-015, -0.18532808192E-015, -0.31759563203E-015
